L_MatchDF_IREL,L_NotMatchDF_IREL
Algérie,Acores
Allemagne,Angleterre
Bizerte,Annam
Bordeaux,Asie
Brest,Buenos-Ayres
Bretagne,Caldwelle-Luc
Bruxelles,Calédonie
Casablanca,Cameroon
Cherbourg,Cap-Vert
Chine,Ching-Wan-Tao
Corse,Chitose
Crète,Châtel-Guyon
Cuba,Cochinchine
Côte d'Ivoire,Congo Français
Dakar,Copenhague
Djibouti,Danaïde
Fachoda,Diégo-Suarez
France,Gaulois
Gabon,Haut-Dahomey
Gibraltar,Havane
Grèce,Hiroshima
Inde,Indo-Chine
Japon,Islande
Lisbonne,Japonais
Liège,Madagascar
Loango,Mecque
Lorient,Moncay
Madrid,New-York
Manille,Nouvelle-Orléans
Maroc,Peyrelongue
Milan,Phlégéton
Nice,Ping S'Hiang
Nioro,Sasebo
Nord,Saïgon
Paris,Sidi-Abdallah
Port-Louis,Soudan Français
Port-Saïd,Terre
Portsmouth,Zanzibar
Pékin,île de Céram
Rochefort,île de Groix
Saint-Brieuc,île de Porquerolles
Saint-Mandrier,Mer Rouge
Saint-Pétersbourg,Océan Indien
Smyrne,Océan Pacifique
Soudan,Yen-Thé
Sumatra,casamance
Sénégal,cercle de Thiès
Tokyo,golfe de Siam
Tonkin,mer rouge
Toulon,océan Atlantique
Extrême-Orient,océan indien
Méditerranée,Binh-Thuan
Nouméa,Yang-Tsé
Ogooué,Afrique occidentale française
Abyssinie,Androy
Afrique,Anjouan
Amérique,Antsirane
Antilles,Bahr-el-Ghazal
Baoulé,Bambaras
Barbade,Bras-de-Pontho
Battambang,Bridgetown
Bengale,Choquan
Bokoro,Congo français
Cambodge,Croyances
Canton,Côte-d'Ivoire
Cayenne,Dahomey
Chandernagor,Fouta-Djallon
Cholon,Grande-Comore
Conakry,Guinée Française
Congo,Hatien
Constantine,Haut-Laos
Dori,Haut-Oubangui
Europe,Haut-Sénégal
Grand-Bassam,Janeiro
Guadeloupe,Lao-Kay
Guinée,Laokay
Guyane,Majunga
Guyane française,Malgaches
Hanoi,Marquises
Hué,Mayotte
Kampot,Mong-Tseu
Kati,Mongtzeu
Kayes,Mongtzé
Labé,My-Tho
Lagos,Nhatrang
Laos,Nouvelle-Galles
Liptako,Océanie
Martinique,Orizaba
Mauritanie,Ouossou
Mexique,Pak-Hoi
Miquelon,Perse
Niger,Phu-Lang-Thuong
Oubangui,Ping-Shiang
Philippines,Port
Pondichéry,Rio
Porto,Samoa
Rufisque,Setchouen
Réunion,Somalis
Saigon,Soudan français
Saint-Louis,Surra
Saint-Philippe,Tahiti
Shanghai,Tamatave
Tagant,Tampico
Tchad,Tananarive
Chengdu,Thaï-Binh
Timbo,Tidjikdja
Togo,Yen-Bay
Tombouctou,delta Tonkinois
Vinh,lac Tchad.
Wallis,île de Saint-Barthélémy
Yunnan,île de Saint-Martin
Zinder,île de la Réunion
6.9238480594031e-310,îles Saint-Pierre
