placeName,Unnamed: 0
Abyssinie,42
Afrique,112380
Algérie,19986120
Allemagne,1073008
Amérique,58523
Antilles,516413
Baoulé,4017
Barbade,1357
Battambang,8847
Bengale,1678
Bizerte,2040
Bokoro,2125
Bordeaux,4371
Brest,37321
Bretagne,47805
Bruxelles,2597
Cambodge,1081370
Canton,13769
Casablanca,3561
Cayenne,95215
Chandernagor,8650
Chengdu,3335
Cherbourg,3346
Chine,1024832
Cholon,3427
Conakry,29695
Congo,2019009
Constantine,116061
Corse,258587
Crète,14242
Cuba,97400
Dakar,33718
Djibouti,196263
Dori,8803
Europe,50544
Extrême-Orient,4864
Fachoda,4875
France,28922196
Gabon,1210792
Gibraltar,10883
Grand-Bassam,11145
Grèce,128554
Guadeloupe,1926184
Guinée,2301303
Guyane,1583969
Guyane française,1549072
Hanoi,85590
Hué,24428
Inde,1348680
Japon,52599
Kampot,13079
Kati,13217
Kayes,48047
Labé,21066
Lagos,7071
Laos,557734
Liptako,7833
Lisbonne,7836
Liège,7798
Loango,17415
Lorient,15897
Madrid,8148
Manille,8308
Maroc,594287
Martinique,1874137
Mauritanie,418670
Mexique,270665
Milan,26346
Miquelon,94292
Méditerranée,17213
Nice,13200
Niger,970987
Nioro,38642
Nord,704012
Nouméa,67157
Ogooué,73426
Oubangui,37560
Paris,55932
Philippines,69866
Pondichéry,30965
Port-Louis,48210
Port-Saïd,10898
Porto,228990
Portsmouth,21875
Pékin,10468
Rochefort,11411
Rufisque,11523
Réunion,524562
Saigon,110378
Saint-Brieuc,34971
Saint-Louis,315129
Saint-Mandrier,11931
Saint-Philippe,48042
Saint-Pétersbourg,12007
Shanghai,12598
Smyrne,12779
Soudan,211794
Sumatra,51236
Sénégal,2395326
Tagant,26119
Tchad,791458
Timbo,13524
Togo,489671
Tokyo,13604
Tombouctou,27365
Tonkin,81777
Toulon,54786
Vinh,316562
Wallis,42487
Yunnan,97978
Zinder,14541
