,L_MatchDF_IREL,L_NotMatchDF_IREL
0,Algérie,Acores
1,Allemagne,Angleterre
2,Bizerte,Annam
3,Bordeaux,Asie
4,Brest,Buenos-Ayres
5,Bretagne,Caldwelle-Luc
6,Bruxelles,Calédonie
7,Casablanca,Cameroon
8,Cherbourg,Cap-Vert
9,Chine,Ching-Wan-Tao
10,Corse,Chitose
11,Crète,Châtel-Guyon
12,Cuba,Cochinchine
13,Dakar,Congo Français
14,Djibouti,Copenhague
15,Fachoda,Côte d'Ivoire
16,France,Danaïde
17,Gabon,Diégo-Suarez
18,Gibraltar,Gaulois
19,Grèce,Haut-Dahomey
20,Inde,Havane
21,Japon,Hiroshima
22,Lisbonne,Indo-Chine
23,Liège,Islande
24,Loango,Japonais
25,Lorient,Madagascar
26,Madrid,Mecque
27,Manille,Moncay
28,Maroc,New-York
29,Milan,Nouvelle-Orléans
30,Nice,Peyrelongue
31,Nioro,Phlégéton
32,Nord,Ping S'Hiang
33,Paris,Sasebo
34,Port-Louis,Saïgon
35,Port-Saïd,Sidi-Abdallah
36,Portsmouth,Soudan Français
37,Pékin,Terre
38,Rochefort,Zanzibar
39,Saint-Brieuc,île de Céram
40,Saint-Mandrier,île de Groix
41,Saint-Pétersbourg,île de Porquerolles
42,Smyrne,Mer Rouge
43,Soudan,Océan Indien
44,Sumatra,Océan Pacifique
45,Sénégal,Yen-Thé
46,Tokyo,casamance
47,Tonkin,cercle de Thiès
48,Toulon,golfe de Siam
49,Extrême-Orient,mer rouge
50,Méditerranée,océan Atlantique
51,Nouméa,océan indien
52,Ogooué,Binh-Thuan
53,Abyssinie,Yang-Tsé
54,Afrique,Afrique occidentale française
55,Amérique,Androy
56,Antilles,Anjouan
57,Baoulé,Antsirane
58,Barbade,Bahr-el-Ghazal
59,Battambang,Bambaras
60,Bengale,Bras-de-Pontho
61,Bokoro,Bridgetown
62,Cambodge,Choquan
63,Canton,Congo français
64,Cayenne,Croyances
65,Chandernagor,Côte-d'Ivoire
66,Cholon,Dahomey
67,Conakry,Fouta-Djallon
68,Congo,Grande-Comore
69,Constantine,Guinée Française
70,Dori,Hatien
71,Europe,Haut-Laos
72,Grand-Bassam,Haut-Oubangui
73,Guadeloupe,Haut-Sénégal
74,Guinée,Janeiro
75,Guyane,Lao-Kay
76,Guyane française,Laokay
77,Hanoi,Majunga
78,Hué,Malgaches
79,Kampot,Marquises
80,Kati,Mayotte
81,Kayes,Mong-Tseu
82,Labé,Mongtzeu
83,Lagos,Mongtzé
84,Laos,My-Tho
85,Liptako,Nhatrang
86,Martinique,Nouvelle-Galles
87,Mauritanie,Océanie
88,Mexique,Orizaba
89,Miquelon,Ouossou
90,Niger,Pak-Hoi
91,Oubangui,Perse
92,Philippines,Phu-Lang-Thuong
93,Pondichéry,Ping-Shiang
94,Porto,Port
95,Rufisque,Rio
96,Réunion,Samoa
97,Saigon,Setchouen
98,Saint-Louis,Somalis
99,Saint-Philippe,Soudan français
100,Shanghai,Surra
101,Tagant,Tahiti
102,Tchad,Tamatave
103,Chengdu,Tampico
104,Timbo,Tananarive
105,Togo,Thaï-Binh
106,Tombouctou,Tidjikdja
107,Vinh,Yen-Bay
108,Wallis,delta Tonkinois
109,Yunnan,lac Tchad.
110,Zinder,île de Saint-Barthélémy
111,6.926315558848e-310,île de Saint-Martin
112,6.926315558848e-310,île de la Réunion
113,6.926315558848e-310,îles Saint-Pierre
