,GPH_code,NAME,Q_code,latitude,longitude,IREL_url
0,,Acores,,,,
1,615.0,Algérie,Q262,28.0,1.0,
2,255.0,Allemagne,Q183,51.0,10.0,
3,,Angleterre,,,,
4,8152.0,Annam,Q10828323,0.0,0.0,
5,,Asie,,,,
6,6161.0,Bizerte,Q189546,37.274444444444,9.873888888888901,
7,,Bordeaux,,,,
8,,Brest,,,,
9,,Bretagne,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bretagne%C3%89tang%20de%20%28Saint-Martin%C3%AEle%29
10,,Bruxelles,,,,
11,,Buenos-Ayres,,,,
12,,Caldwelle-Luc,,,,
13,,Calédonie,,,,
14,,Cameroon,,,,
15,402.0,Cap-Vert,Q1011,15.916666666666998,-24.083333333333,
16,,Casablanca,,,,
17,,Cherbourg,,,,
18,,Chine,,,,
19,,Ching-Wan-Tao,,,,
20,,Chitose,,,,
21,,Châtel-Guyon,,,,
22,,Cochinchine,,,,
23,,Congo Français,,,,
24,,Copenhague,,,,
25,,Corse,,,,
26,351.0,Crète,Q34374,35.309722222222,24.893333333333,
27,,Crète,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cr%C3%A8te%C3%8Ele%20de
28,40.0,Cuba,Q241,22.0,-79.5,
29,,Côte d'Ivoire,,,,
30,,Dakar,,,,
31,,Danaïde,,,,
32,5802.0,Diégo-Suarez,Q218928,-12.266666666667,49.283333333333,
33,,Djibouti,,,,
34,,Fachoda,,,,
35,220.0,France,Q142,47.0,2.0,
36,481.0,Gabon,Q1000,-0.68333055555556,11.5,
37,,Gaulois,,,,
38,231.0,Gibraltar,Q1410,36.13775,-5.3453611111110995,
39,,Gibraltar,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=GibraltarTerritoire%20britannique
40,350.0,Grèce,Q41,38.5,23.0,
41,,Haut-Dahomey,,,,
42,,Havane,,,,
43,,Hiroshima,,,,
44,750.0,Inde,Q668,22.8,83.0,
45,,Indo-Chine,,,,
46,395.0,Islande,Q189,65.0,-19.0,
47,740.0,Japon,Q17,35.0,136.0,
48,,Japonais,,,,
49,,Lisbonne,,,,
50,,Liège,,,,
51,4842.0,Loango,Q1479630,-4.7106,11.8378,
52,,Lorient,,,,
53,,Madagascar,,,,
54,,Madrid,,,,
55,,Manille,,,,
56,600.0,Maroc,Q1028,32.0,-6.0,
57,,Mecque,,,,
58,3253.0,Milan,Q490,45.466944444443996,9.19,
59,,Moncay,,,,
60,,New-York,,,,
61,,Nice,,,,
62,,Nioro,,,,
63,,Nord,,,,
64,,Nouvelle-Orléans,,,,
65,,Paris,,,,
66,,Peyrelongue,,,,
67,,Phlégéton,,,,
68,,Ping S'Hiang,,,,
69,,Port-Louis,,,,
70,,Port-Saïd,,,,
71,,Portsmouth,,,,
72,,Pékin,,,,
73,,Rochefort,,,,
74,,Saint-Brieuc,,,,
75,,Saint-Mandrier,,,,
76,,Saint-Pétersbourg,,,,
77,,Sasebo,,,,
78,,Saïgon,,,,
79,,Sidi-Abdallah,,,,
80,,Smyrne,,,,
81,,Soudan,,,,
82,,Soudan Français,,,,
83,,Sumatra,,,,
84,433.0,Sénégal,Q1041,14.366667000000001,-14.283332999999999,
85,,Terre,,,,
86,,Tokyo,,,,
87,8153.0,Tonkin,Q1858,21.0245,105.84116999999999,
88,,Tonkin,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Tonkin1er%20territoire%20militaire
89,,Toulon,,,,
90,511.0,Zanzibar,Q1774,-6.1333333333333,39.316666666667,
91,,île de Céram,,,,
92,,île de Groix,,,,
93,,île de Porquerolles,,,,
94,,Extrême-Orient,,,,
95,,Mer Rouge,,,,
96,,Méditerranée,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=M%C3%A9diterran%C3%A9eR%C3%A9gion%20g%C3%A9ographique
97,,Océan Indien,,,,
98,,Océan Pacifique,,,,
99,,Yen-Thé,,,,
100,,casamance,,,,
101,,cercle de Thiès,,,,
102,,golfe de Siam,,,,
103,,mer rouge,,,,
104,,océan Atlantique,,,,
105,,océan indien,,,,
106,,Binh-Thuan,,,,
107,,Nouméa,,,,
108,,Ogooué,,,,
109,,Yang-Tsé,,,,
110,,Abyssinie,,,,
111,,Afrique,,,,
112,430.0,Afrique occidentale française,Q210682,14.492626000000001,-5.660918,
113,,Amérique,,,,
114,,Androy,,,,
115,5813.0,Anjouan,Q231324,-12.215,44.425,
116,,Antilles,,,,
117,,Antsirane,,,,
118,,Bahr-el-Ghazal,,,,
119,,Bambaras,,,,
120,,Baoulé,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Baoul%C3%A9Cours%20d%5Ceau%20%28C%C3%B4te%20d%5CIvoire/Mali%29
121,53.0,Barbade,Q244,13.17,-59.5525,
122,,Battambang,,,,
123,,Bengale,,,,
124,,Bokoro,,,,
125,,Bras-de-Pontho,,,,
126,,Bridgetown,,,,
127,,Cambodge,,,,
128,,Canton,,,,
129,,Cayenne,,,,
130,,Chandernagor,,,,
131,,Cholon,,,,
132,,Choquan,,,,
133,,Conakry,,,,
134,,Congo,,,,
135,,Congo français,,,,
136,,Constantine,,,,
137,,Croyances,,,,
138,,Côte-d'Ivoire,,,,
139,,Dahomey,,,,
140,,Dori,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=DoriCercle%20%28Burkina%20Faso%29
141,,Europe,,,,
142,,Fouta-Djallon,,,,
143,,Grand-Bassam,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Grand-BassamLagune%20de%20%28C%C3%B4te%20d%5CIvoire%29
144,,Grande-Comore,,,,
145,65.0,Guadeloupe,Q17012,16.25,-61.583333333332995,
146,,Guinée,,,,
147,,Guinée Française,,,,
148,,Guyane,,,,
149,,Guyane française,,,,
150,,Hanoi,,,,
151,,Hatien,,,,
152,,Haut-Laos,,,,
153,,Haut-Oubangui,,,,
154,,Haut-Sénégal,,,,
155,,Hué,,,,
156,,Janeiro,,,,
157,,Kampot,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=KampotProvince%20%28Cambodge%29
158,,Kati,,,,
159,,Kayes,,,,
160,,Labé,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lab%C3%A9Cercle%20%28Guin%C3%A9e%29
161,4781.0,Lagos,Q8673,6.45,3.4,
162,,Lao-Kay,,,,
163,,Laokay,,,,
164,812.0,Laos,Q819,18.2,104.0,
165,,Liptako,,,,
166,,Majunga,,,,
167,,Malgaches,,,,
168,,Marquises,,,,
169,66.0,Martinique,Q17054,14.666666666666998,-61.0,
170,435.0,Mauritanie,Q1025,21.0,-11.0,
171,5812.0,Mayotte,Q17063,-12.843055555555999,45.138333333332994,
172,70.0,Mexique,Q96,23.0,-102.0,
173,,Miquelon,,,,
174,,Mong-Tseu,,,,
175,,Mongtzeu,,,,
176,,Mongtzé,,,,
177,,My-Tho,,,,
178,,Nhatrang,,,,
179,436.0,Niger,Q1032,17.0,10.0,
180,,Nouvelle-Galles,,,,
181,,Océanie,,,,
182,,Orizaba,,,,
183,,Oubangui,,,,
184,,Ouossou,,,,
185,,Pak-Hoi,,,,
186,,Perse,,,,
187,840.0,Philippines,Q928,12.0,123.0,
188,,Phu-Lang-Thuong,,,,
189,,Ping-Shiang,,,,
190,,Pondichéry,,,,
191,,Port,,,,
192,,Porto,,,,
193,,Rio,,,,
194,,Rufisque,,,,
195,585.0,Réunion,Q17070,-21.114444444444,55.5325,
196,,Saigon,,,,
197,,Saint-Louis,,,,
198,,Saint-Philippe,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Saint-PhilippeCours%20d%5Ceau%20%28%C3%89tats-Unis%29
199,9900.0,Samoa,Q683,-14.0,-172.0,
200,,Setchouen,,,,
201,,Shanghai,,,,
202,,Somalis,,,,
203,,Soudan français,,,,
204,,Surra,,,,
205,4353.0,Tagant,Q843903,18.7,-10.2,
206,,Tagant,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TagantR%C3%A9gion%20g%C3%A9ographique%20%28Mauritanie%29
207,9606.0,Tahiti,Q42000,-17.666666666667,-149.46666666667,
208,,Tamatave,,,,
209,,Tampico,,,,
210,,Tananarive,,,,
211,483.0,Tchad,Q657,15.466667000000001,19.4,
212,,Chengdu,,,,
213,,Thaï-Binh,,,,
214,,Tidjikdja,,,,
215,,Timbo,,,,
216,,Togo,,,,
217,,Tombouctou,,,,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=TombouctouCercle%20%28Mali%29
218,,Vinh,,,,
219,,Wallis,,,,
220,,Yen-Bay,,,,
221,7109.0,Yunnan,Q43194,24.5,101.5,
222,4362.0,Zinder,Q204365,13.8,8.9833333333333,
223,,delta Tonkinois,,,,
224,,lac Tchad.,,,,
225,,île de Saint-Barthélémy,,,,
226,,île de Saint-Martin,,,,
227,,île de la Réunion,,,,
228,,îles Saint-Pierre,,,,
